country,region,year,gdp_growth_pct,risk_score,population_m,tam_usd_m,sam_usd_m,revenue_usd_m,entry_cost_usd_m,operating_cost_usd_m,profit_usd_m,roi_pct,market_maturity,regulatory_ease,digital_adoption_pct
Brazil,Latin America,2024,2.9,45,215,29881.4,6125.86,443.03,38.14,0.0,-38.14,-100.0,Growth,3.5,53.2
Brazil,Latin America,2025,2.9,45,215,11711.52,2940.42,154.82,13.95,0.0,0.0,0.0,Growth,5.5,54.7
Brazil,Latin America,2026,2.9,45,215,21653.27,6534.12,431.03,24.02,0.0,0.0,0.0,Emerging,8.7,48.5
Brazil,Latin America,2027,2.9,45,215,14367.75,4590.48,506.66,41.32,0.0,0.0,0.0,Growth,3.7,80.7
Brazil,Latin America,2028,2.9,45,215,14593.28,4023.77,557.47,21.27,0.0,0.0,0.0,Emerging,3.3,42.5
Brazil,Latin America,2029,2.9,45,215,22195.06,4362.62,262.19,17.51,0.0,0.0,0.0,Developing,4.0,49.5
India,Asia Pacific,2024,6.8,35,1400,214989.88,61639.65,3522.11,33.57,0.0,-33.57,-100.0,Emerging,4.0,50.9
India,Asia Pacific,2025,6.8,35,1400,300843.95,78637.59,9315.52,42.93,0.01,0.0,0.01,Emerging,7.9,74.3
India,Asia Pacific,2026,6.8,35,1400,168302.83,55982.1,5974.3,37.31,0.0,0.0,0.01,Developing,5.4,80.3
India,Asia Pacific,2027,6.8,35,1400,197891.29,39444.78,4186.54,16.82,0.0,0.0,0.01,Growth,5.4,42.1
India,Asia Pacific,2028,6.8,35,1400,363960.1,61211.49,3348.98,9.93,0.0,0.0,0.01,Growth,5.5,33.5
India,Asia Pacific,2029,6.8,35,1400,218968.51,56017.15,8240.56,43.74,0.0,0.0,0.01,Growth,3.7,78.7
Vietnam,Asia Pacific,2024,7.2,38,98,16365.99,3568.36,283.15,12.12,0.0,-12.12,-100.0,Growth,8.3,44.5
Vietnam,Asia Pacific,2025,7.2,38,98,12718.95,4229.37,579.64,18.43,0.0,0.0,0.0,Growth,4.2,50.6
Vietnam,Asia Pacific,2026,7.2,38,98,8739.18,2923.14,414.65,31.95,0.0,0.0,0.0,Emerging,8.6,78.3
Vietnam,Asia Pacific,2027,7.2,38,98,20691.22,3343.39,460.72,47.61,0.0,0.0,0.0,Developing,7.9,83.8
Vietnam,Asia Pacific,2028,7.2,38,98,16183.38,4562.91,660.18,12.43,0.0,0.0,0.0,Growth,5.5,41.6
Vietnam,Asia Pacific,2029,7.2,38,98,18577.78,3534.06,286.87,49.78,0.0,0.0,0.0,Developing,8.4,54.8
